Population number,Putative Species,State,Latitude,Longitude,Date
Pop 1,reflexum,MS,31.74147,-88.52569,3/19/2023
Pop 2,reflexum,OH,40.1017913,-83.1204685,4/15/2023
Pop 3,canadense,KY,37.817728,-83.677484,4/15/2023
Pop 4,canadense,KY,38.385167,-83.416018,4/15/2023
Pop 5,canadense,TN,36.375167,-85.663278,4/16/2023
Pop 6,acuminatum,OH,39.789832,-83.842612,4/20/2023
Pop 7,reflexum,OH,39.789832,-83.842612,4/20/2023
Pop 8,canadense,OH,39.789832,-83.842612,4/20/2023
Pop 9,reflexum,OH,39.614948,-83.281893,4/22/2023
Pop 10,reflexum,SC,33.7573986,-80.7025231,4/23/2023
Pop 11,reflexum,SC,34.6534166,-80.5197326,4/24/2023
Pop 12,reflexum,SC,34.5631786,-81.7543111,4/24/2023
Pop 13,acuminatum,NC,35.2215888,-82.307741,4/25/2023
Pop 14,canadense,NC,35.6412767,-82.4936795,4/26/2023
Pop 15,canadense,NC,36.1224719,-81.8189638,4/27/2023
Pop 16,canadense,NC,36.0689167,-82.0251834,4/28/2023
Pop 17,canadense,NC,36.1722835,-82.0627414,4/28/2023
Pop 18,canadense,NC,36.1298116,-82.1040642,4/28/2023
Pop 19,canadense,NC,35.875768,-82.283695,4/28/2023
Pop 20,canadense,NC,35.8120564,-82.3120752,4/28/2023
Pop 21,canadense,NC,35.2108916,-83.1517933,4/29/2023
Pop 22,canadense,NC,35.3260038,-83.1032058,4/29/2023
Pop 23,canadense,NC,35.3937186,-83.1267234,4/29/2023
Pop 24,acuminatum,TN,35.6605952,-83.5347259,4/30/2023
Pop 25,acuminatum,TN,35.6523136,-83.575554,4/30/2023
Pop 26,acuminatum,TN,35.6676627,-83.6621627,4/30/2023
Pop 27,acuminatum,TN,35.6153198,-83.6651145,4/30/2023
Pop 28,canadense,KY,37.5599037,-84.2347074,5/1/2023
Pop 29,canadense,KY,37.533144,-84.2181766,5/1/2023
Pop 30,reflexum,OH,39.9025373,-83.2128082,5/9/2023
Pop 31,reflexum,OH,38.7912751,-83.542505,5/10/2023
Pop 32,canadense,OH,38.7167415,-83.5088973,5/10/2023
Pop 33,reflexum,OK,36.082506,-95.039886,5/4/2023
