"ID","Putative_Species","Avg_Sep_Angle","Avg_Sep_Length","Avg_Sep_MP_Width","Avg_Length_Tapering","Avg_In_Out_Ratio","Avg_Sep_Width","Pedicle_Width_mm","Pedicle_Length_cm","Tube_Length","Stamen_Length_cm","Dist_to_Gyn_Center_cm","Gyn_Height_cm","Gyn_Width_mm","Sepal_Tip_Shape","Overall_Sepal_Orientation","Calyx_Ab_Pub","Tube_Color","Rudimentary_Petals","Adaxial_Leaf_Pubescence","Leaf_Shape"
"Pop1_Ind1","reflexum",183.333333333333,1.9125,0.69,0.663333333333333,1,1.08645430395308,1.29,1.13,1.47,0.41,0.65,0.37,0.29,"Abrupt","Reflexed","Entire","At Tube","Zero","Margins","Reniform"
"Pop1_Ind2","reflexum",226,2.2875,0.603333333333333,0.696666666666667,1,1.08645430395308,1.11,1.61,1.25,0.41,0.53,0.34,0.27,"Abrupt","Reflexed","Entire","At Tube","Zero","Margins","Reniform-chordate"
"Pop1_Ind3","reflexum",215.666666666667,1.7375,0.59,0.546666666666667,1,1.08645430395308,1.04,1.62,0.98,0.29,0.34,0.27,0.24,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Renifrom-chordate"
"Pop2_Ind1","reflexum",229.666666666667,2.805,0.596666666666667,0.883333333333333,0.986666666666667,1.08645430395308,1.86,2.67,1.57,0.61,0.55,0.47,0.27,"Abrupt","Reflexed","Entire","At Tube","Three","Even","Chordate"
"Pop3_Ind1","canadense",173.666666666667,3.7975,0.4,0.516666666666667,0.71,1.08645430395308,2.15,1.94,1.77,0.66,0.75,0.48,0.34,"Tapering","Flat","Entire","One-Third","Three","Even","Chordate"
"Pop3_Ind2","canadense",185.333333333333,2.475,0.416666666666667,0.593333333333333,0.876666666666667,1.08645430395308,1.25,1.33,1.18,0.49,0.47,0.38,0.22,"Intermediate","Flat","Entire","At Tube","Three","Even","Chordate"
"Pop3_Ind3","canadense",188,3.15,0.263333333333333,0.773333333333333,0.59,1.08645430395308,2.17,1.07,1.71,0.64,0.6,0.54,0.36,"Tapering","Flat","Entire","At Tube","Three","Even","Chordate"
"Pop4_Ind1","canadense",182.333333333333,2.715,0.546666666666667,0.573333333333333,0.8,1.08645430395308,2.36,3.41,2.04,0.55,0.61,0.55,0.39,"Intermediate","Slight Incurve","Entire","At Tube","Three","Even","Reniform-chordate"
"Pop4_Ind2","reflexum",220.666666666667,2.405,0.6,0.783333333333333,0.906666666666667,1.08645430395308,2.38,2.27,1.63,0.52,0.62,0.5,0.38,"Abrupt","Reflexed","Entire","At Tube","Three","Even","Chordate"
"Pop4_Ind3","canadense",168.666666666667,2.2425,0.573333333333333,0.63,0.86,1.08645430395308,2.65,2.54,1.81,0.66,0.57,0.45,0.35,"Intermediate","Slight Incurve","To Lobes","One-Third","Three","Even","Chordate"
"Pop5_Ind1","reflexum",201.333333333333,3.47,0.666666666666667,0.67,1,1.08645430395308,1.75,2.31,1.61,0.48,0.61,0.51,0.3,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Reniform"
"Pop5_Ind2","reflexum",207,2.6775,0.596666666666667,0.73,1,1.08645430395308,1.4,3.37,1.22,0.41,0.47,0.33,0.19,"Abrupt","Reflexed","To Lobes","At Tube","Zero","Even","Chordate"
"Pop5_Ind3","reflexum",245,2.5075,0.593333333333333,0.76,1,1.08645430395308,1.62,3.51,1.19,0.46,0.4,0.34,0.29,"Abrupt","Reflexed","To Lobes","At Tube","One","Even","Chordate"
"Pop6_Ind1","acuminatum",161.666666666667,3.02,0.28,0.776666666666667,0.856666666666667,1.08645430395308,1.44,2.75,1.38,0.43,0.43,0.35,0.32,"Tapering","Incurved","Entire","At Tube","Zero","Even","Chordate"
"Pop6_Ind2","acuminatum",191.666666666667,3.89,0.17,1.2,0.05,1.08645430395308,2.05,3.63,1.47,0.42,0.53,0.46,0.3,"Tapering","Flat","To Lobes","At Tube","Three","Even","Chordate"
"Pop6_Ind3","acuminatum",105.666666666667,4.02,0.196666666666667,1.33333333333333,0.206666666666667,1.08645430395308,1.95,2.96,1.72,0.64,0.59,0.48,0.3,"Tapering","Incurved","To Tube","At Tube","Three","Even","Reniform-Chordate"
"Pop6_Ind4","acuminatum",180,2.5925,0.29,0.833333333333333,1,1.08645430395308,1.46,2.48,1.41,0.36,0.49,0.38,0.28,"Tapering","Intermediate","To Tube","At Tube","Zero","Even","Reniform"
"Pop7_Ind1","reflexum",229.333333333333,3.3425,0.783333333333333,0.78,1,1.08645430395308,2.12,2.17,1.52,0.51,0.53,0.4,0.29,"Abrupt","Reflexed","To Tube","At Tube","Two","Even","Reniform-Chordate"
"Pop7_Ind2","reflexum",238.666666666667,2.475,0.726666666666667,0.776666666666667,1,1.08645430395308,2.17,2.98,1.47,0.55,0.41,0.38,0.27,"Abrupt","Reflexed","To Tube","At Tube","Zero","Even","Reniform"
"Pop8_Ind1","reflexum",208,2.5825,0.716666666666667,0.766666666666667,1,1.08645430395308,1.68,2.51,1.46,0.47,0.38,0.37,0.29,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Chordate"
