ID,Putative_Species,S1_Angle_deg,S1_Length_cm,S1_Width_cm,S1_MP_Width_cm,S1_Length_to_Caudate_Appendage_cm,S1_Inner_Outer_Ratio,S1_Tip_Shape,S2_Angle_deg,Sepal_2_Length_cm,S2_Width_cm,S2_MP_Width_cm,S2_Length_to_Caudate_Appendage_cm,S2_Inner_Outer_Ratio,S2_Tip_Shape,S3_Angle_deg,S3_Length_cm,S3_Width_cm,S3_MP_Width_cm,S3_Length_to_Caudate_Appendage_cm,S3_Inner_Outer_Ratio,S3_Tip_Shape,Overall_Sepal_Orientation,Calyx_Ad_Pub,Calyx_Ab_Pub,Tube_Color,Rudimentary_Petals,Style_Tube_Shape,Pedicle_Width_mm,Pedicle_Length_cm,Tube_Length,Stamen_Length_cm,Dist_to_Gyn_Center_cm,Gyn_Height_cm,Gyn_Width_mm,Avg_Leaf_Length_cm,Avg_Leaf_Width_cm,Adaxial_Leaf_Pubescence,Abaxial_Leaf_Pubescence,Leaf_Shape
Pop1_Ind1,reflexum,199,0.89,0.9,0.71,0.67,1.00,Abrupt,171,0.84,0.93,0.72,0.71,1.00,Abrupt,180,0.92,0.95,0.64,0.61,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.29,1.13,1.47,0.41,0.65,0.37,0.29,5,7.78,Margins,Entire,Reniform
Pop1_Ind2,reflexum,237,1.06,0.89,0.55,0.71,1.00,Abrupt,223,1.04,0.97,0.64,0.69,1.00,Abrupt,218,1.02,0.91,0.62,0.69,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.11,1.61,1.25,0.41,0.53,0.34,0.27,6.03,7.71,Margins,Entire,Reniform-chordate
Pop1_Ind3,reflexum,215,0.75,0.79,0.6,0.58,1.00,Abrupt,225,0.79,0.76,0.56,0.61,1.00,Abrupt,207,0.84,0.71,0.61,0.45,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.04,1.62,0.98,0.29,0.34,0.27,0.24,4.57,5.77,Even,Entire,Renifrom-chordate
Pop2_Ind1,reflexum,220,1.37,0.99,0.63,0.9,0.99,Abrupt,223,1.32,0.91,0.59,0.84,1.00,Abrupt,246,1.39,0.91,0.57,0.91,0.97,Abrupt,Reflexed,Prominent,Entire,At Tube,Three,Flat,1.86,2.67,1.57,0.61,0.55,0.47,0.27,7.14,8.65,Even,Entire,Chordate
Pop3_Ind1,canadense,160,1.3,1.08,0.38,0.49,0.32,Tapering,177,1.28,1.08,0.39,0.54,0.91,Tapering,184,1.34,1.11,0.43,0.52,0.90,Tapering,Flat,Prominent,Entire,One-Third,Three,Fluted,2.15,1.94,1.77,0.66,0.75,0.48,0.34,11.27,11.43,Even,Entire,Chordate
Pop3_Ind2,canadense,215,1.06,0.98,0.51,0.69,0.99,Intermediate,162,1.08,0.99,0.35,0.51,0.72,Intermediate,179,1.09,1.03,0.39,0.58,0.92,Intermediate,Flat,Prominent,Entire,At Tube,Three,Fluted,1.25,1.33,1.18,0.49,0.47,0.38,0.22,6.67,7.7,Even,Entire,Chordate
Pop3_Ind3,canadense,194,1.47,1.06,0.21,0.84,0.90,Tapering,166,1.45,1.15,0.28,0.66,0.29,Tapering,204,1.45,1.1,0.3,0.82,0.58,Tapering,Flat,Prominent,Entire,At Tube,Three,Fluted,2.17,1.07,1.71,0.64,0.6,0.54,0.36,8.23,9.51,Even,Entire,Chordate
Pop4_Ind1,canadense,183,1.02,1.01,0.58,0.61,0.65,Intermediate,163,0.92,0.99,0.62,0.51,0.77,Intermediate,201,0.91,0.66,0.44,0.6,0.98,Intermediate,Slight Incurve,Prominent,Entire,At Tube,Three,Flat,2.36,3.41,2.04,0.55,0.61,0.55,0.39,8.01,9.76,Even,Entire,Reniform-chordate
Pop4_Ind2,reflexum,213,0.99,1.01,0.63,0.82,0.93,Abrupt,224,1.12,1.01,0.48,0.59,0.79,Intermediate,225,1.08,1.02,0.69,0.94,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Three,Fluted,2.38,2.27,1.63,0.52,0.62,0.5,0.38,6.43,9.21,Even,Entire,Chordate
Pop4_Ind3,canadense,180,0.94,1.04,0.43,0.51,0.98,Intermediate,178,1.01,1.06,0.59,0.67,0.90,Intermediate,148,0.99,1.08,0.7,0.71,0.70,Intermediate,Slight Incurve,Sparse,To Lobes,One-Third,Three,Fluted,2.65,2.54,1.81,0.66,0.57,0.45,0.35,6.03,7.94,Even,Entire,Chordate
