Raw_Sequence_Names,Sample_Numb_Names,New_Analysis_Names,Notes
ACA_CGorge1_JVF3156_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample01,A_Acum_1_CGorge_Trip1_OH,
ACA_CGorge1_Trip2_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample02,A_Acum_2_CGorge_Trip2_OH,
ACA_CGorge5_Trip2_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample03,A_Acum_3_CGorge_Trip2_OH,
ACA_CGorge7_Trip2_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample04,A_Refl_*_CGorge_Trip2_OH,Mislabeled as A_Acum_4_CGorge_Trip2_OH. Supposed to be AR. Changing new name to A_Refl_*_CGorge_Trip2_OH
ACA_CPlainSP_BL0114_WI_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample05,A_Acum_5_CPlainSP_WI,
ACA_CRohlP_BL0112_IL_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample06,A_Acum_6_CRohlP_IL,
ACA_HGTrail_BL0078_TN_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample07,A_Acum_7_HGTrail_TN,
ACA_LRTrail_BL0079_TN_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample08,A_Acum_8_LRTrail_TN,
ACA_MCCreekP_BL0091_IN_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample09,A_Acum_9_MCCreekP_IN,
ACA_MCTrail_BL0080_TN_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample10,A_Acum_10_MCTrail_TN,
ACA_MPTrail_BL0081_TN_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample11,A_Acum_11_MPTrail_TN,
ACA_ShadesSP_BL0103_IN_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample12,A_Acum_12_ShadesSP_IN,
ACA_Tryon_BL0067_NC_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample13,A_Acum_13_Tryon_NC,
ACAUD_BRStP_Gill_WA_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample14,A_Caud_WA,
ACA_WLCemetery_BL0116_MN_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample15,A_Acum_14_WLCemetery_MN,
ACC_1740_BL0076_NC_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample16,A_Cana_1_Hwy1740_NC,
ACC_AppTrail_BL0071_NC_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample17,A_Cana_2_AppTrail_NC,
ACC_BCForest_BL0082_KY_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample18,A_Cana_3_BCForest_KY,
ACC_BDarby_BL0084_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample19,A_Cana_4_BDarby_OH,
ACC_BearPath_BL0074_NC_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample20,A_Cana_5_BearPath_NC,
ACC_BlckMTN_BL0073_NC_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample21,A_Cana_6_BlckMTN_NC,
ACC_BlRidge_BL0068_NC_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample22,A_Cana_7_BlRidge_NC,
ACC_CGorge3_JVF3157_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample23,A_Cana_8_CGorge_Trip1_OH,
ACC_DelCo_Diring_NY_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample24,A_Cana_9_DelCo_NY,
ACC_FooteDam_JVF3166_MI_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample25,A_Cana_10_FooteDam_MI,
ACC_GFSPark_BL0069_NC_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample26,A_Cana_11_GFSPark_NC,
ACC_ICTrail_BL0115_WI_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample27,A_Cana_12_ICTrail_WI,
ACC_JLPark_Beeles_NY_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample28,A_Cana_13_JLPark_NY,
ACC_Meigs_JVF3165_WV_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample29,A_Cana_14_Meigs_WV,
ACC_MilCo_JVF3169_WI_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample30,A_Cana_15_MilCo_JVF3169_WI,
